	OSCC cell	CAF	MSC	MAF	Mst	DC	EC	T.cell	Mac	B.cell	Myo	LNM
LNM_49	0.839212718	0.055441129	0.001234124	0	0.000267734	0.002322844	0.013384935	0	0.046143208	1.58E-05	0.041977503	1
LNM_50	0.845879676	0.142974181	0	0	4.80E-05	0.000438667	0	0.002315841	0.008343628	0	0	1
LNM_51	0.719977587	0.220659333	0	0	0.000235425	0.00078181	0.025200987	0.002130352	0.02772392	0	0.003290586	1
LNM_52	0.978856472	0.00405743	0	0.009806912	7.88E-06	0	0.00299932	0.000402922	0	0	0.003869065	1
LNM_53	0.959882135	0.032603759	0	0	6.94E-05	0	0.002801651	0.003377885	0.001255146	9.99E-06	0	1
LNM_54	0.806107538	0.104296616	0	0	0	0.001673252	0.021009737	0.000480356	0.066432502	0	0	1
LNM_55	0.985491078	0.009090784	1.11E-05	0.001642037	9.40E-06	0	0.000535011	0.002725957	0	0	0.000494674	1
LNM_56	0.97026242	0.020820064	0.002398207	0	0.00010135	0	0.000725694	0.005692265	0	0	0	1
LNM_57	0.968548033	0.026886509	9.59E-05	0.001755538	0	0	0.001007584	0.001671504	0	0	3.50E-05	1
LNM_58	0.794098375	0.164437881	0	0	0	0.004171737	0.002452527	0.00075334	0.032821322	0	0.001264818	1
LNM_59	0.967308683	0.028269582	0	0	0	0	0.00115516	0.003025677	0	0	0.000240898	1
LNM_60	0.728623695	0.181349414	0	0	0	0	0.011187265	0.010818085	0.06802154	0	0	1
LNM_61	0.988850856	0.0035512	0	0.000987871	0	0	0.000322833	0.002766785	0	0	0.003520457	1
LNM_62	0.747301515	0.156990715	0	0.053947411	0.000319762	0	0.01145819	0	0.006508801	0	0.023473606	1
LNM_63	0.790042495	0.084878249	0.000690344	0.019706684	0	0	0.014743312	0.002405849	0.052481003	0	0.035052065	1
LNM_64	0.987190336	0.009728954	0	0	0	0	0.00116727	0.00191344	0	0	0	1
LNM_65	0.920638451	0.039446518	0	0.012564761	0	0.000157038	0.003998618	0	0.019691308	0	0.003503306	1
LNM_66	0.930750564	0.025189436	0	0.01312398	0	0	0.0048409	0.001059787	0.001995305	0	0.023040029	1
LNM_67	0.941925551	0.036273818	0	0.014307862	0	0	0.004019091	0.003473678	0	0	0	1
LNM_68	0.974450487	0.011383565	0.000101231	0.008665093	1.23E-05	0	0.001145194	0.002331126	0	0	0.001911018	1
LNM_69	0.647777918	0.052974778	0.008985781	0.020544217	0	0.014574979	0.073078356	0.010514785	0.17091838	0.000307738	0.00032307	1
LNM_70	0.920695071	0.061742283	0	0	5.73E-06	0	0.00816828	0.003886969	0.005501671	0	0	1
LNM_71	0.97833097	0.011008485	0	0.006728863	4.00E-05	0	0	0.001562778	0.001142247	0	0.001186665	1
LNM_72	0.972464438	0.023510261	0	0	7.04E-05	0	0	0.003842307	0	1.15E-05	0.000101129	1
LNM_73	0.950873988	0.006357371	0.001441812	0.003246584	0	0.000432622	0.009222945	0	0.028424677	0	0	1
LNM_74	0.96296369	0.028543957	0	0.004297355	0	0	0.002529268	0.001665729	0	0	0	1
LNM_75	0.816247407	0.053579145	0	0	0.000104096	0.002690032	0.014110298	0	0.079821265	2.61E-05	0.033421704	1
LNM_76	0.98936989	0.004203458	0	0.00506901	0	0	0	0.001330403	0	0	2.72E-05	1
LNM_77	0.638775103	0.22788752	0	0.026468268	0.000177222	0	0.039671061	0.007518529	0.045123908	0	0.014378389	1
LNM_78	0.725653293	0.03031625	0	0.004387618	0	0	0.001005123	0.004122647	0.05542751	0	0.179087559	1
LNM_79	0.987988123	0.004356848	0	0.004837226	0	0	0.001186609	0.001515009	0	2.16E-06	0.000114023	1
LNM_80	0.937841051	0.043661447	0	0.001570073	2.28E-05	0	0.001983066	0.0013793	0.009399116	4.33E-05	0.00409988	1
LNM_81	0.856940658	0.076779227	0	0.014203081	0.000148712	0	0.010191373	0.00210134	0.00712605	0	0.032509558	1
LNM_82	0.927246596	0.063715818	0	0.000406307	2.89E-05	0	0.000774601	0.002119184	0.004998194	0	0.000710373	1
LNM_83	0.962521127	0.016290456	0	0.001130152	0	0.000988905	0.003214889	0.005919049	0.00515677	7.99E-05	0.004698798	1
LNM_84	0.920176245	0.035195882	0.001336845	0	0	0.000953954	0.01603772	0.000980743	0.020859612	0	0.004458999	1
LNM_85	0.97411471	0.018894303	0.002079777	0	0	0	0.001105565	0.003805459	0	1.86E-07	0	1
LNM_86	0.388796774	0.124852402	0	0	0.000200715	0	0.022059616	0.010227729	0.016344351	0.000148555	0.437369858	1
LNM_87	0.846700432	0.135970191	0	0	6.23E-05	0	0.003480177	0.004220418	0.006376472	0.00128253	0.001907519	1
LNM_88	0.951131016	0.011209009	0.000217729	0	0.000138612	0	0.004298524	0.007254936	0.004479822	0	0.021270353	1
LNM_89	0.92580148	0.053816806	0	0.001433096	8.46E-05	0.002230516	0.008156056	0.002253909	0.004712567	0.000330529	0.001180406	1
LNM_90	0.42319354	0.134567908	0	0	0	0.00543358	0.082420092	0.0092659	0.11829618	0.002476863	0.224345938	1
LNM_91	0.997906232	0.000266337	0	0.000696505	0	0	0	0.001130927	0	0	0	1
LNM_92	0.908385231	0.054761724	0	0.000391356	0.00018797	0	0.007228883	0.005819849	0.008097089	0	0.015127898	1
LNM_93	0.585810846	0.255126526	0	0.086117945	0	0	0.024362345	0.008647242	0.005460599	0.002647625	0.031826873	1
LNM_94	0.521057276	0.272607007	0	0	0	0	0.104196589	0.007974289	0.087959976	0	0.006204863	1
LNM_95	0.878592951	0.055952976	0	0.027652395	6.54E-05	0	0.01125596	0.00094125	0	8.93E-05	0.025449772	1
LNM_96	0.941924225	0.01177514	0.000189623	0.002336026	0	0.002241788	0.00587037	0.006387266	0.029205218	0	7.03E-05	1
LNM_97	0.96114957	0.023260521	0.001312595	0	0.000285417	0	0	0.002539613	0	0	0.011452284	1
LNM_98	0.9075326	0.036167437	0	0	0	0.001129996	0.007449117	0	0.047113393	0.000394843	0.000212614	1
LNM_99	0.914066235	0.049796807	0	0	6.11E-07	0	0.010515418	0.007183511	0.017376216	0.001061202	0	1
LNM_100	0.737209779	0.164179061	0	0.020708362	0.000178042	0.000113479	0.023249685	0.003693877	0.031076893	0.001116418	0.018474404	1
LNM_101	0.946692828	0.018251107	0.000746174	0.001885795	0	0.000523517	0.00675701	0	0.025143569	0	0	1
LNM_102	0.621816889	0.150172804	0	0	0	0	0.020593525	0	0.018179098	0	0.189237683	1
LNM_103	0.890732817	0.021687152	0	0.001816698	0	0.000415857	0.009735259	0.0022057	0.068839569	3.22E-05	0.004534719	1
LNM_104	0.908432489	0.064020571	2.71E-05	0.015539765	0.000305029	0	0.009283849	0.002331375	0	1.93E-05	4.06E-05	1
LNM_105	0.878867829	0.079039706	0	0.005416412	0	0	0.025525104	0.001534044	0.009616906	0	0	1
