,cell_types,Sample_ID,condition
HNSCC17_P3_H11_S287_comb,CRC,oscc17,N0_pri
HNSCC17_P2_H12_S96_comb,CRC,oscc17,N0_pri
HNSCC17_P3_B11_S215_comb,CRC,oscc17,N0_pri
HNSCC17_P3_G07_S271_comb,CRC,oscc17,N0_pri
HNSCC17_P3_B04_S208_comb,CRC,oscc17,N0_pri
HNSCC17_P2_F05_S65_comb,CRC,oscc17,N0_pri
HNSCC17_P2_H10_S94_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E07_S247_comb,CRC,oscc17,N0_pri
HNSCC17_P7_H08_S188_comb,CRC,oscc17,N0_pri
HNSCC17_P3_D05_S233_comb,CRC,oscc17,N0_pri
HNSCC17_P2_F02_S62_comb,CRC,oscc17,N0_pri
HNSCC17_P3_A11_S203_comb,CRC,oscc17,N0_pri
HNSCC17_P2_H03_S87_comb,CRC,oscc17,N0_pri
HNSCC17_P3_C05_S221_comb,CRC,oscc17,N0_pri
HNSCC17_P2_H05_S89_comb,CRC,oscc17,N0_pri
HNSCC17_P3_D07_S235_comb,CRC,oscc17,N0_pri
HNSCC17_P2_E02_S50_comb,CRC,oscc17,N0_pri
HNSCC17_P7_C09_S129_comb,CRC,oscc17,N0_pri
HNSCC17_P3_F08_S260_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E04_S244_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E06_S246_comb,CRC,oscc17,N0_pri
HNSCC17_P2_E06_S54_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G09_S81_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G10_S82_comb,CRC,oscc17,N0_pri
HNSCC17_P3_B03_S207_comb,CRC,oscc17,N0_pri
HNSCC17_P2_E11_S59_comb,CRC,oscc17,N0_pri
HNSCC16_P2_E06_S54_comb,CRC,oscc16,N0_pri
HNSCC17_P3_A10_S202_comb,CRC,oscc17,N0_pri
HNSCC17_P3_A05_S197_comb,CRC,oscc17,N0_pri
HNSCC17_P3_F07_S259_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G06_S78_comb,CRC,oscc17,N0_pri
HNSCC17_P2_A06_S6_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E08_S248_comb,CRC,oscc17,N0_pri
HNSCC17_P2_A11_S11_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E10_S250_comb,CRC,oscc17,N0_pri
HNSCC17_P7_B12_S120_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E01_S241_comb,CRC,oscc17,N0_pri
HNSCC17_P3_C09_S225_comb,CRC,oscc17,N0_pri
HNSCC17_P3_C08_S224_comb,CRC,oscc17,N0_pri
HNSCC17_P2_B09_S21_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D06_S42_comb,CRC,oscc17,N0_pri
HNSCC17_P2_H09_S93_comb,CRC,oscc17,N0_pri
HNSCC17_P2_F06_S66_comb,CRC,oscc17,N0_pri
HNSCC17_P3_H07_S283_comb,CRC,oscc17,N0_pri
HNSCC17_P2_B12_S24_comb,CRC,oscc17,N0_pri
HNSCC17_P7_G12_S180_comb,CRC,oscc17,N0_pri
HNSCC17_P2_C04_S28_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D02_S38_comb,CRC,oscc17,N0_pri
HNSCC17_P7_D11_S143_comb,CRC,oscc17,N0_pri
HNSCC17_P3_H12_S288_comb,CRC,oscc17,N0_pri
HNSCC17_P3_F12_S264_comb,CRC,oscc17,N0_pri
HNSCC17_P7_G05_S173_comb,CRC,oscc17,N0_pri
HNSCC17_P3_G02_S266_comb,CRC,oscc17,N0_pri
HNSCC17_P3_C07_S223_comb,CRC,oscc17,N0_pri
HNSCC17_P3_E09_S249_comb,CRC,oscc17,N0_pri
HNSCC17_P7_H02_S182_comb,CRC,oscc17,N0_pri
HNSCC17_P2_C05_S29_comb,CRC,oscc17,N0_pri
HNSCC17_P2_A10_S10_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D04_S40_comb,CRC,oscc17,N0_pri
HNSCC17_P3_B05_S209_comb,CRC,oscc17,N0_pri
HNSCC17_P3_G06_S270_comb,CRC,oscc17,N0_pri
HNSCC17_P2_E01_S49_comb,CRC,oscc17,N0_pri
HNSCC17_P3_H09_S285_comb,CRC,oscc17,N0_pri
HNSCC17_P2_H11_S95_comb,CRC,oscc17,N0_pri
HNSCC17_P3_D11_S239_comb,CRC,oscc17,N0_pri
HNSCC17_P2_E04_S52_comb,CRC,oscc17,N0_pri
HNSCC17_P2_D05_S41_comb,CRC,oscc17,N0_pri
HNSCC17_P3_G04_S268_comb,CRC,oscc17,N0_pri
HNSCC17_P3_A09_S201_comb,CRC,oscc17,N0_pri
HNSCC17_P3_A06_S198_comb,CRC,oscc17,N0_pri
HNSCC17_P2_G12_S84_comb,CRC,oscc17,N0_pri
HNSCC17_P2_F03_S63_comb,CRC,oscc17,N0_pri
HNSCC17_P2_B01_S13_comb,CRC,oscc17,N0_pri
HNSCC17_P3_A08_S200_comb,CRC,oscc17,N0_pri
HNSCC17_P3_C12_S228_comb,CRC,oscc17,N0_pri
HNSCC17_P2_C08_S32_comb,CRC,oscc17,N0_pri
HNSCC17_P7_D02_S134_comb,CRC,oscc17,N0_pri
HNSCC17_P2_A08_S8_comb,CRC,oscc17,N0_pri
HNSCC17_P3_B06_S210_comb,CRC,oscc17,N0_pri
HNSCC17_P7_G11_S179_comb,CRC,oscc17,N0_pri
HNSCC17_P2_H01_S85_comb,CRC,oscc17,N0_pri
HNSCC17_P2_H04_S88_comb,CRC,oscc17,N0_pri
