	score	is_training	sparsity_sp	sparsity_sc	sparsity_diff
gnas	0.8134476	False	0.22061855670103092	0.23083958295225904	-0.010221026251228116
arpc2	0.81333673	False	0.2319587628865979	0.1322480336564844	0.09971072923011348
ywhaq	0.81211853	False	0.2536082474226804	0.22827876349003107	0.025329483932649333
jun	0.81129223	True	0.2628865979381443	0.2981525516736784	-0.035265953735534095
cd163	0.81070316	True	0.8948453608247423	0.9826230107920249	-0.08777764996728254
rtn4	0.81052715	False	0.2938144329896907	0.4627766599597586	-0.1689622269700679
rac1	0.81038827	False	0.32164948453608244	0.4060728004389976	-0.08442331590291519
xbp1	0.8102479	True	0.37938144329896906	0.6407536125845985	-0.26137216928562945
c1qb	0.80904263	True	0.7134020618556701	0.980062191329797	-0.2666601294741269
ndufs5	0.80839294	False	0.24536082474226806	0.35942930309127497	-0.11406847834900691
lmna	0.80823165	False	0.25773195876288657	0.1598683007133711	0.09786365804951547
rhod	0.8081813	False	0.36185567010309283	0.8046460581671849	-0.4427903880640921
igfbp7	0.8079082	True	0.31752577319587627	0.566489848179989	-0.24896407498411277
cnbp	0.80778176	False	0.23814432989690726	0.011523687580025643	0.22662064231688162
ctsb	0.807615	True	0.34123711340206186	0.031278580574355175	0.3099585328277067
coro6	0.80727	True	0.9082474226804124	0.9048838485458204	0.0033635741345919845
hla-dmb	0.8065505	True	0.845360824742268	0.9045180171940735	-0.05915719245180551
cct5	0.80628276	True	0.4185567010309278	0.44302176696542894	-0.02446506593450115
polr2f	0.80545217	False	0.2608247422680412	0.5079568319004939	-0.2471320896324527
cct3	0.80519116	False	0.2731958762886598	0.4227181269434791	-0.14952225065481928
blnk	0.8045832	True	0.9154639175257732	0.9156758734223522	-0.00021195589657907465
aif1	0.80428904	True	0.877319587628866	0.9749405524053412	-0.0976209647764752
tnc	0.80367917	False	0.1412371134020619	0.4925919151271264	-0.3513548017250645
cdk6	0.8029313	False	0.18041237113402064	0.6934333272361441	-0.5130209561021235
ddr1	0.8026069	False	0.41546391752577316	0.6083775379550027	-0.19291362042922955
tmsb4x	0.8021252	True	0.22577319587628863	0.01609657947686116	0.20967661639942747
fcgrt	0.80188906	False	0.08659793814432992	0.634900310956649	-0.5483023728123191
itga6	0.8017375	True	0.5628865979381443	0.5964880190232302	-0.0336014210850859
mmp14	0.80117	False	0.22577319587628863	0.7601975489299433	-0.5344243530536547
drap1	0.8000787	False	0.22886597938144326	0.46478873239436624	-0.23592275301292298
copz1	0.79645437	False	0.25979381443298966	0.5103347356868484	-0.25054092125385874
timp3	0.7962657	True	0.3680412371134021	0.5913663800987745	-0.22332514298537243
copg1	0.7959508	False	0.27835051546391754	0.4219864642399853	-0.14363594877606778
rab30	0.795777	True	0.9041237113402062	0.8639107371501737	0.04021297419003245
sdc1	0.79568	False	0.3402061855670103	0.5686848362904702	-0.22847865072345985
sfrp2	0.7952409	True	0.5628865979381443	0.9114688128772636	-0.34858221493911923
cd44	0.79489005	True	0.35051546391752575	0.2134625937442839	0.13705287017324186
pcbp1	0.7945075	False	0.29072164948453605	0.32540698737881835	-0.0346853378942823
serpina1	0.793986	True	0.9494845360824742	0.908176330711542	0.04130820537093216
cd14	0.7933871	True	0.8546391752577319	0.9200658496433144	-0.06542667438558247
hdgf	0.793178	False	0.26701030927835057	0.6606914212548015	-0.39368111197645095
lasp1	0.7929425	False	0.222680412371134	0.6166087433693068	-0.3939283309981728
col5a1	0.7926998	True	0.5536082474226804	0.7695262483994878	-0.21591800097680736
prrc2c	0.7921226	False	0.2175257731958763	0.14944210718858608	0.06808366600729021
gja1	0.79181993	False	0.3948453608247423	0.6985549661606	-0.30370960533585767
snrnp70	0.7915761	False	0.15670103092783505	0.7596488019023231	-0.602947770974488
snrpd1	0.7911798	False	0.31649484536082473	0.5061276751417596	-0.18963282978093488
myh9	0.7907638	False	0.3082474226804124	0.1787086153283336	0.1295388073520788
polr2g	0.79018253	False	0.29793814432989696	0.5015547832449241	-0.20361663891502713
col7a1	0.7901446	True	0.4092783505154639	0.6323394914944211	-0.22306114097895724
gnptg	0.78981155	False	0.2793814432989691	0.6039875617340407	-0.3246061184350716
ndufb7	0.7897174	False	0.30721649484536084	0.4314980793854033	-0.12428158454004246
flii	0.78939265	False	0.2628865979381443	0.5275288092189501	-0.2646422112808058
tmem230	0.78889	False	0.2587628865979381	0.4638741540149991	-0.20511126741706098
itgb1	0.7886952	False	0.3329896907216495	0.291018840314615	0.04197085040703452
polr2l	0.7884158	False	0.365979381443299	0.3886958112310225	-0.02271642978772348
col6a2	0.78791517	True	0.465979381443299	0.7199561002377903	-0.25397671879449135
derl3	0.78743565	True	0.8824742268041237	0.9593927199561002	-0.07691849315197652
ncl	0.78641737	False	0.30515463917525776	0.21017011157856225	0.09498452759669551
psma7	0.78578013	False	0.29793814432989696	0.19041521858423271	0.10752292574566424
fbln2	0.785443	True	0.5773195876288659	0.8589720139015914	-0.28165242627272546
c1r	0.78543884	True	0.3206185567010309	0.45052130967623927	-0.12990275297520837
ubxn6	0.78527933	False	0.09381443298969072	0.7623925370404243	-0.6685781040507336
fth1	0.7851741	True	0.277319587628866	0.01188951893177248	0.2654300686970935
robo4	0.78492504	True	0.9371134020618557	0.9614047923907079	-0.02429139032885219
s100a16	0.7845369	False	0.4092783505154639	0.5313700384122919	-0.122091687896828
